id,title,released_year,runtime,genre,overview
449,In a Lonely Place,1950,94,"Drama, Film-Noir, Mystery","A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
450,Kind Hearts and Coronets,1949,106,"Comedy, Crime",A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
451,Rope,1948,80,"Crime, Drama, Mystery",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
452,Out of the Past,1947,97,"Crime, Drama, Film-Noir","A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames."
453,Brief Encounter,1945,86,"Drama, Romance","Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
454,Laura,1944,88,"Drama, Film-Noir, Mystery",A police detective falls in love with the woman whose murder he is investigating.
455,The Best Years of Our Lives,1946,170,"Drama, Romance, War",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
456,Arsenic and Old Lace,1942,118,"Comedy, Crime, Thriller",A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
457,The Maltese Falcon,1941,100,"Film-Noir, Mystery","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
458,The Grapes of Wrath,1940,129,"Drama, History","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
459,The Wizard of Oz,1939,102,"Adventure, Family, Fantasy",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
460,La r\350gle du jeu,1939,110,"Comedy, Drama","A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
461,The Thin Man,1934,91,"Comedy, Crime, Mystery","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
462,All Quiet on the Western Front,1930,152,"Drama, War","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
463,Bronenosets Potemkin,1925,75,"Drama, History, Thriller","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
464,Knives Out,2019,130,"Comedy, Crime, Drama","A detective investigates the death of a patriarch of an eccentric, combative family."
465,Dil Bechara,2020,101,"Comedy, Drama, Romance","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
466,Manbiki kazoku,2018,121,"Crime, Drama",A family of small-time crooks take in a child they find outside in the cold.
467,Marriage Story,2019,137,"Comedy, Drama, Romance",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
468,Call Me by Your Name,2017,132,"Drama, Romance","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
469,"I, Daniel Blake",2016,100,Drama,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance."
