id,title,released_year,runtime,genre,overview
502,Les choristes,2004,97,"Drama, Music",The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
503,Iron Man,2008,126,"Action, Adventure, Sci-Fi","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
504,Shaun of the Dead,2004,99,"Comedy, Horror",A man's uneventful life is disrupted by the zombie apocalypse.
505,Gegen die Wand,2004,121,"Drama, Romance","With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
506,Mystic River,2003,138,"Crime, Drama, Mystery",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
507,Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure, Family, Fantasy","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
508,Ying xiong,2002,120,"Action, Adventure, History","A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
509,Hable con ella,2002,112,"Drama, Mystery, Romance",Two men share an odd friendship while they care for two women who are both in deep comas.
510,No Man's Land,2001,98,"Comedy, Drama, War","Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
511,Cowboy Bebop: Tengoku no tobira,2001,115,"Animation, Action, Crime","A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit."
512,The Bourne Identity,2002,119,"Action, Mystery, Thriller","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
513,Nueve reinas,2000,114,"Crime, Drama, Thriller","Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
514,Children of Men,2006,109,"Adventure, Drama, Sci-Fi","In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
515,Almost Famous,2000,122,"Adventure, Comedy, Drama",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
516,Mulholland Dr.,2001,147,"Drama, Mystery, Thriller","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
517,Toy Story 2,1999,92,"Animation, Adventure, Comedy","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
518,Boogie Nights,1997,155,Drama,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
519,Mimi wo sumaseba,1995,111,"Animation, Drama, Family","A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
520,Once Were Warriors,1994,102,"Crime, Drama",A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
521,True Romance,1993,119,"Crime, Drama, Romance","In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
522,Trois couleurs: Bleu,1993,94,"Drama, Music, Mystery",A woman struggles to find a way to live her life after the death of her husband and child.
523,J\373b\352 ninp\373ch\364,1993,94,"Animation, Action, Adventure",A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.
524,Carlito's Way,1993,144,"Crime, Drama, Thriller","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
525,Edward Scissorhands,1990,105,"Drama, Fantasy, Romance","An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
526,My Left Foot: The Story of Christy Brown,1989,103,"Biography, Drama","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
527,Crimes and Misdemeanors,1989,104,"Comedy, Drama",An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
528,The Untouchables,1987,119,"Crime, Drama, Thriller","During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
529,Hannah and Her Sisters,1986,107,"Comedy, Drama","Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
530,Brazil,1985,132,"Drama, Sci-Fi",A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
531,This Is Spinal Tap,1984,82,"Comedy, Music","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
532,A Christmas Story,1983,93,"Comedy, Family","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
533,The Blues Brothers,1980,133,"Action, Adventure, Comedy","Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised."
534,Manhattan,1979,96,"Comedy, Drama, Romance",The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
535,All That Jazz,1979,123,"Drama, Music, Musical","Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
536,Dawn of the Dead,1978,127,"Action, Adventure, Horror","Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall."
537,All the President's Men,1976,138,"Biography, Drama, History","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
538,La monta\361a sagrada,1973,114,"Adventure, Drama, Fantasy","In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
539,Amarcord,1973,123,"Comedy, Drama, Family",A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
540,Le charme discret de la bourgeoisie,1972,102,Comedy,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
541,"Aguirre, der Zorn Gottes",1972,95,"Action, Adventure, Biography","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado."
542,Harold and Maude,1971,91,"Comedy, Drama, Romance","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
543,Patton,1970,172,"Biography, Drama, War",The World War II phase of the career of controversial American general George S. Patton.
544,The Wild Bunch,1969,145,"Action, Adventure, Western","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
545,Night of the Living Dead,1968,96,"Horror, Thriller",A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.
546,The Lion in Winter,1968,134,"Biography, Drama, History","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him."
547,In the Heat of the Night,1967,110,"Crime, Drama, Mystery",A black police detective is asked to investigate a murder in a racially hostile southern town.
548,Charade,1963,113,"Comedy, Mystery, Romance",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
549,The Manchurian Candidate,1962,126,"Drama, Thriller",A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.
550,Spartacus,1960,197,"Adventure, Biography, Drama",The slave Spartacus leads a violent revolt against the decadent Roman Republic.
551,L'avventura,1960,144,"Drama, Mystery","A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
552,Hiroshima mon amour,1959,90,"Drama, Romance",A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
553,The Ten Commandments,1956,220,"Adventure, Drama","Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people."
554,The Searchers,1956,119,"Adventure, Drama, Western",An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.
555,East of Eden,1955,118,Drama,"Two brothers struggle to maintain their strict, Bible-toting father's favor."
556,High Noon,1952,85,"Drama, Thriller, Western","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train."
557,Strangers on a Train,1951,101,"Crime, Film-Noir, Thriller",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
558,Harvey,1950,104,"Comedy, Drama, Fantasy","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
559,Miracle on 34th Street,1947,96,"Comedy, Drama, Family","When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing."
560,Notorious,1946,102,"Drama, Film-Noir, Romance",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?
561,The Big Sleep,1946,114,"Crime, Film-Noir, Mystery","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
562,The Lost Weekend,1945,101,"Drama, Film-Noir",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
563,The Philadelphia Story,1940,112,"Comedy, Romance","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
564,His Girl Friday,1940,92,"Comedy, Drama, Romance",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
565,The Adventures of Robin Hood,1938,102,"Action, Adventure, Romance","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army."
566,A Night at the Opera,1935,96,"Comedy, Music, Musical",A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
567,King Kong,1933,100,"Adventure, Horror, Sci-Fi",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
568,Freaks,1932,64,"Drama, Horror","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
569,Nosferatu,1922,94,"Fantasy, Horror",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
570,The Gentlemen,2019,113,"Action, Comedy, Crime","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
571,Raazi,2018,138,"Action, Drama, Thriller",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
572,Sound of Metal,2019,120,"Drama, Music",A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
573,Forushande,2016,124,Drama,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
574,Dunkirk,2017,106,"Action, Drama, History","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
575,Perfetti sconosciuti,2016,96,"Comedy, Drama","Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles."
576,Hidden Figures,2016,127,"Biography, Drama, History",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
577,Paddington 2,2017,103,"Adventure, Comedy, Family","Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen."
578,Udta Punjab,2016,148,"Action, Crime, Drama",A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
579,Kubo and the Two Strings,2016,101,"Animation, Action, Adventure",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
580,M.S. Dhoni: The Untold Story,2016,184,"Biography, Drama, Sport",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
581,Manchester by the Sea,2016,137,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
582,Under sandet,2015,100,"Drama, History, War","In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
583,Rogue One,2016,133,"Action, Adventure, Sci-Fi",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.
584,Captain America: Civil War,2016,147,"Action, Adventure, Sci-Fi",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
585,The Hateful Eight,2015,168,"Crime, Drama, Mystery","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
586,Little Women,2019,135,"Drama, Romance","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
587,Loving Vincent,2017,94,"Animation, Biography, Crime","In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there."
588,Pride,2014,119,"Biography, Comedy, Drama",U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
589,Le pass\351,2013,130,"Drama, Mystery","An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
590,La grande bellezza,2013,141,Drama,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
591,The Lunchbox,2013,104,"Drama, Romance",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
592,Vicky Donor,2012,126,"Comedy, Romance","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
593,Big Hero 6,2014,102,"Animation, Action, Adventure","A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
594,About Time,2013,123,"Comedy, Drama, Fantasy","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
595,English Vinglish,2012,134,"Comedy, Drama, Family","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
596,Kaze tachinu,2013,126,"Animation, Biography, Drama","A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
597,Toy Story 4,2019,100,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
598,La migliore offerta,2013,131,"Crime, Drama, Mystery",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
599,Moonrise Kingdom,2012,94,"Comedy, Drama, Romance","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
600,How to Train Your Dragon 2,2014,102,"Animation, Action, Adventure","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
601,The Big Short,2015,130,"Biography, Comedy, Drama",In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.
602,Kokuhaku,2010,106,"Drama, Thriller",A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
603,Ang-ma-reul bo-at-da,2010,144,"Action, Crime, Drama",A secret agent exacts revenge on a serial killer through a series of captures and releases.
604,The Girl with the Dragon Tattoo,2011,158,"Crime, Drama, Mystery","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
605,Captain Phillips,2013,134,"Adventure, Biography, Crime","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
606,Ajeossi,2010,119,"Action, Crime, Drama",A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
607,Straight Outta Compton,2015,147,"Biography, Drama, History","The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
608,Madeo,2009,129,"Crime, Drama, Mystery",A mother desperately searches for the killer who framed her son for a girl's horrific murder.
609,Chugyeokja,2008,125,"Action, Crime, Thriller",A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
610,The Hobbit: The Desolation of Smaug,2013,161,"Adventure, Fantasy","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
611,Das wei\337e Band - Eine deutsche Kindergeschichte,2009,144,"Drama, History, Mystery","Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?"
612,M\344n som hatar kvinnor,2009,152,"Crime, Drama, Mystery",A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
613,The Trial of the Chicago 7,2020,129,"Drama, History, Thriller","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
614,Druk,2020,117,"Comedy, Drama","Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood."
615,The Fighter,2010,116,"Biography, Drama, Sport","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
616,Taken,2008,90,"Action, Thriller","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
617,The Boy in the Striped Pyjamas,2008,94,"Drama, History, War","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
618,Once,2007,86,"Drama, Music, Romance","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
619,The Hobbit: An Unexpected Journey,2012,169,"Adventure, Fantasy","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
620,Auf der anderen Seite,2007,122,Drama,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
621,Atonement,2007,123,"Drama, Mystery, Romance",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
622,Drive,2011,100,"Crime, Drama",A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.
623,American Gangster,2007,157,"Biography, Crime, Drama","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
624,Avatar,2009,162,"Action, Adventure, Fantasy",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
625,Mr. Nobody,2009,141,"Drama, Fantasy, Romance","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
626,Apocalypto,2006,139,"Action, Adventure, Drama","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
627,Little Miss Sunshine,2006,101,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
628,Hot Fuzz,2007,121,"Action, Comedy, Mystery",A skilled London police officer is transferred to a small town with a dark secret.
629,The Curious Case of Benjamin Button,2008,166,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
630,Veer-Zaara,2004,192,"Drama, Family, Musical","Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever."
631,Adams \346bler,2005,94,"Comedy, Crime, Drama",A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.
632,Pride & Prejudice,2005,129,"Drama, Romance","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
633,The World's Fastest Indian,2005,127,"Biography, Drama, Sport","The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967."
634,T\364ky\364 goddof\342z\342zu,2003,90,"Animation, Adventure, Comedy","On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents."
635,Serenity,2005,119,"Action, Adventure, Sci-Fi",The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.
636,Walk the Line,2005,136,"Biography, Drama, Music","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
637,Ondskan,2003,113,Drama,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
638,The Notebook,2004,123,"Drama, Romance","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences."
639,Diarios de motocicleta,2004,126,"Adventure, Biography, Drama",The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
640,Lilja 4-ever,2002,109,"Crime, Drama","Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life."
641,Les triplettes de Belleville,2003,80,"Animation, Comedy, Drama","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
642,Gongdong gyeongbi guyeok JSA,2000,110,"Action, Drama, Thriller","After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened."
643,The Count of Monte Cristo,2002,131,"Action, Adventure, Drama","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
644,Waking Life,2001,99,"Animation, Drama, Fantasy",A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
645,Remember the Titans,2000,113,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
646,Wo hu cang long,2000,120,"Action, Adventure, Fantasy",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
647,Todo sobre mi madre,1999,101,Drama,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela."
648,Cast Away,2000,143,"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
649,The Boondock Saints,1999,108,"Action, Crime, Thriller",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
650,The Insider,1999,157,"Biography, Drama, Thriller",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes expos\351 on Big Tobacco.
651,October Sky,1999,108,"Biography, Drama, Family","The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes."
652,Shrek,2001,90,"Animation, Adventure, Comedy","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
653,Titanic,1997,194,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
654,Hana-bi,1997,103,"Crime, Drama, Romance","Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
655,Gattaca,1997,106,"Drama, Sci-Fi, Thriller",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
656,The Game,1997,129,"Action, Drama, Mystery","After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality."
657,Breaking the Waves,1996,159,Drama,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another."
658,Ed Wood,1994,127,"Biography, Comedy, Drama","Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent."
659,What's Eating Gilbert Grape,1993,118,Drama,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
660,Tombstone,1993,130,"Action, Biography, Drama","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
661,The Sandlot,1993,101,"Comedy, Drama, Family","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
662,The Remains of the Day,1993,134,"Drama, Romance",A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.
663,Naked,1993,132,"Comedy, Drama","Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life."
664,The Fugitive,1993,130,"Action, Crime, Drama","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
665,A Bronx Tale,1993,121,"Crime, Drama, Romance",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
666,Batman: Mask of the Phantasm,1993,76,"Animation, Action, Crime",Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.
667,Lat sau san taam,1992,128,"Action, Crime, Thriller",A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
668,Night on Earth,1991,129,"Comedy, Drama",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
669,La double vie de V\351ronique,1991,98,"Drama, Fantasy, Music","Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
670,Boyz n the Hood,1991,112,"Crime, Drama","Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
671,Misery,1990,107,"Drama, Thriller","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
672,Awakenings,1990,121,"Biography, Drama","The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them."
673,Majo no takky\373bin,1989,103,"Animation, Adventure, Drama","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
674,Glory,1989,122,"Biography, Drama, History","Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
675,Dip huet seung hung,1989,111,"Action, Crime, Drama",A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.
676,Back to the Future Part II,1989,108,"Adventure, Comedy, Sci-Fi","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
677,Mississippi Burning,1988,128,"Crime, Drama, History",Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.
678,Predator,1987,107,"Action, Adventure, Sci-Fi",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
